,PRICE , TIME 
600,2553.75,10:11:30
601,2556.0,10:11:35
602,2556.25,10:11:40
603,2556.25,10:11:45
604,2556.25,10:11:50
605,2556.25,10:11:55
606,2556.25,10:12:01
607,2556.25,10:12:06
608,2556.25,10:12:11
609,2556.25,10:12:16
610,2556.25,10:12:21
611,2556.25,10:12:26
612,2556.25,10:12:32
613,2556.25,10:12:37
614,2556.25,10:12:42
615,2556.25,10:12:47
616,2556.25,10:12:52
617,2556.25,10:12:58
618,2556.25,10:13:03
619,2556.25,10:13:08
620,2556.25,10:13:13
621,2556.25,10:13:18
622,2556.25,10:13:23
623,2558.75,10:13:29
624,2558.75,10:13:34
625,2558.75,10:13:39
626,2558.75,10:13:44
627,2558.75,10:13:49
628,2558.75,10:13:55
629,2558.75,10:14:00
630,2558.75,10:14:05
631,2558.75,10:14:10
632,2558.75,10:14:15
633,2558.75,10:14:20
634,2558.75,10:14:26
635,2558.75,10:14:31
636,2558.75,10:14:36
637,2557.0,10:14:41
638,2558.75,10:14:46
639,2558.75,10:14:51
640,2558.75,10:14:57
641,2558.75,10:15:02
642,2557.0,10:15:07
643,2558.75,10:15:12
644,2558.75,10:15:17
645,2559.75,10:15:23
646,2559.75,10:15:28
647,2559.75,10:15:33
648,2559.75,10:15:38
649,2559.75,10:15:43
650,2559.75,10:15:48
651,2559.75,10:15:54
652,2559.75,10:15:59
653,2559.75,10:16:04
654,2559.75,10:16:09
655,2559.75,10:16:14
656,2559.75,10:16:20
657,2559.75,10:16:25
658,2559.75,10:16:30
659,2559.75,10:16:35
660,2559.75,10:16:40
661,2559.75,10:16:46
662,2559.75,10:16:51
663,2559.75,10:16:56
664,2559.75,10:17:01
665,2559.75,10:17:06
666,2559.75,10:17:12
667,2559.75,10:17:17
668,2560.5,10:17:22
669,2560.5,10:17:27
670,2560.5,10:17:32
671,2560.5,10:17:37
672,2560.5,10:17:43
673,2560.5,10:17:48
674,2560.5,10:17:53
675,2560.5,10:17:58
676,2560.5,10:18:03
677,2560.5,10:18:09
678,2560.5,10:18:14
679,2560.5,10:18:19
680,2560.5,10:18:24
681,2560.5,10:18:29
682,2560.5,10:18:34
683,2560.5,10:18:40
684,2560.5,10:18:45
685,2560.5,10:18:50
686,2560.5,10:18:55
687,2560.5,10:19:00
688,2560.5,10:19:06
689,2563.6,10:19:11
690,2563.6,10:19:16
691,2563.6,10:19:21
692,2563.6,10:19:26
693,2563.6,10:19:32
694,2563.6,10:19:37
695,2563.6,10:19:42
696,2563.6,10:19:47
697,2563.6,10:19:52
698,2563.6,10:19:57
699,2563.6,10:20:03
700,2563.6,10:20:08
701,2563.6,10:20:13
702,2563.6,10:20:18
703,2563.6,10:20:23
704,2563.6,10:20:29
705,2563.6,10:20:34
706,2563.6,10:20:39
707,2563.6,10:20:44
